count,date
49,2014-06-14 00:00:00
69,2014-06-15 00:00:00
238,2014-06-16 00:00:00
218,2014-06-17 00:00:00
206,2014-06-18 00:00:00
174,2014-06-19 00:00:00
94,2014-06-20 00:00:00
56,2014-06-21 00:00:00
49,2014-06-22 00:00:00
177,2014-06-23 00:00:00
107,2014-06-24 00:00:00
123,2014-06-25 00:00:00
136,2014-06-26 00:00:00
198,2014-06-27 00:00:00
51,2014-06-28 00:00:00
87,2014-06-29 00:00:00
217,2014-06-30 00:00:00
224,2014-07-01 00:00:00
300,2014-07-02 00:00:00
195,2014-07-03 00:00:00
251,2014-07-04 00:00:00
50,2014-07-05 00:00:00
33,2014-07-06 00:00:00
248,2014-07-07 00:00:00
106,2014-07-08 00:00:00
181,2014-07-09 00:00:00
121,2014-07-10 00:00:00
160,2014-07-11 00:00:00
81,2014-07-12 00:00:00
41,2014-07-13 00:00:00
92,2014-07-14 00:00:00
98,2014-07-15 00:00:00
163,2014-07-16 00:00:00
216,2014-07-17 00:00:00
177,2014-07-18 00:00:00
92,2014-07-19 00:00:00
57,2014-07-20 00:00:00
130,2014-07-21 00:00:00
101,2014-07-22 00:00:00
121,2014-07-23 00:00:00
96,2014-07-24 00:00:00
96,2014-07-25 00:00:00
33,2014-07-26 00:00:00
35,2014-07-27 00:00:00
142,2014-07-28 00:00:00
121,2014-07-29 00:00:00
114,2014-07-30 00:00:00
125,2014-07-31 00:00:00
80,2014-08-01 00:00:00
31,2014-08-02 00:00:00
35,2014-08-03 00:00:00
119,2014-08-04 00:00:00
92,2014-08-05 00:00:00
180,2014-08-06 00:00:00
117,2014-08-07 00:00:00
109,2014-08-08 00:00:00
34,2014-08-09 00:00:00
31,2014-08-10 00:00:00
230,2014-08-11 00:00:00
160,2014-08-12 00:00:00
109,2014-08-13 00:00:00
105,2014-08-14 00:00:00
175,2014-08-15 00:00:00
51,2014-08-16 00:00:00
45,2014-08-17 00:00:00
110,2014-08-18 00:00:00
153,2014-08-19 00:00:00
127,2014-08-20 00:00:00
111,2014-08-21 00:00:00
94,2014-08-22 00:00:00
29,2014-08-23 00:00:00
21,2014-08-24 00:00:00
78,2014-08-25 00:00:00
72,2014-08-26 00:00:00
64,2014-08-27 00:00:00
112,2014-08-28 00:00:00
128,2014-08-29 00:00:00
84,2014-08-30 00:00:00
52,2014-08-31 00:00:00
202,2014-09-01 00:00:00
206,2014-09-02 00:00:00
132,2014-09-03 00:00:00
190,2014-09-04 00:00:00
154,2014-09-05 00:00:00
40,2014-09-06 00:00:00
37,2014-09-07 00:00:00
132,2014-09-08 00:00:00
191,2014-09-09 00:00:00
387,2014-09-10 00:00:00
395,2014-09-11 00:00:00
136,2014-09-12 00:00:00
50,2014-09-13 00:00:00
32,2014-09-14 00:00:00
141,2014-09-15 00:00:00
84,2014-09-16 00:00:00
82,2014-09-17 00:00:00
88,2014-09-18 00:00:00
138,2014-09-19 00:00:00
40,2014-09-20 00:00:00
33,2014-09-21 00:00:00
110,2014-09-22 00:00:00
210,2014-09-23 00:00:00
172,2014-09-24 00:00:00
103,2014-09-25 00:00:00
81,2014-09-26 00:00:00
33,2014-09-27 00:00:00
36,2014-09-28 00:00:00
137,2014-09-29 00:00:00
108,2014-09-30 00:00:00
263,2014-10-01 00:00:00
114,2014-10-02 00:00:00
131,2014-10-03 00:00:00
51,2014-10-04 00:00:00
48,2014-10-05 00:00:00
167,2014-10-06 00:00:00
153,2014-10-07 00:00:00
142,2014-10-08 00:00:00
125,2014-10-09 00:00:00
77,2014-10-10 00:00:00
57,2014-10-11 00:00:00
36,2014-10-12 00:00:00
84,2014-10-13 00:00:00
330,2014-10-14 00:00:00
146,2014-10-15 00:00:00
53,2014-10-16 00:00:00
81,2014-10-17 00:00:00
36,2014-10-18 00:00:00
40,2014-10-19 00:00:00
87,2014-10-20 00:00:00
97,2014-10-21 00:00:00
131,2014-10-22 00:00:00
107,2014-10-23 00:00:00
77,2014-10-24 00:00:00
65,2014-10-25 00:00:00
36,2014-10-26 00:00:00
105,2014-10-27 00:00:00
